txn_id,account_number,txn_date,amount,txn_type,txn_status,updated_at
T101,A107,15-01-2025,1186.17,payment,cleared,25-05-2026
T102,A105,19-01-2025,-1375.93,payment,new,25-05-2026
T103,A108,08-01-2025,-665.17,transfer,cleared,25-05-2026
T104,A105,12-01-2025,1879.64,withdraw,cleared,25-05-2026
T105,A105,26-01-2025,469.93,withdraw,new,25-05-2026
T106,A109,27-01-2025,-835.08,payment,pending,25-05-2026
T107,A103,20-01-2025,-470.15,transfer,cleared,25-05-2026
T108,A105,21-01-2025,430.18,deposit,pending,25-05-2026
T109,A104,14-01-2025,1768.81,withdraw,cleared,25-05-2026
T110,A110,20-01-2025,-1609.31,transfer,cleared,25-05-2026
T111,A107,08-01-2025,439.99,payment,pending,25-05-2026
T112,A101,08-01-2025,-964.88,transfer,cleared,25-05-2026
T113,A106,04-01-2025,-1168.23,withdraw,pending,25-05-2026
T114,A102,02-01-2025,1100.53,withdraw,cleared,25-05-2026
T115,A108,28-01-2025,281.78,deposit,reversed,25-05-2026
T116,A105,18-01-2025,-445.29,payment,cleared,25-05-2026
T117,A110,28-01-2025,1861.02,transfer,cleared,25-05-2026
T118,A101,09-01-2025,-1937.45,transfer,cleared,25-05-2026
T119,A108,11-01-2025,-1977.91,payment,cleared,25-05-2026
T120,A103,27-01-2025,1160.7,deposit,reversed,25-05-2026
