transaction_id,account_id,transaction_type,amount,transaction_date
1001,A101,Deposit,10000,01-03-2025
1002,A101,Withdrawal,2000,02-03-2025
1003,A102,Deposit,25000,03-03-2025
1004,A103,Transfer,5000,04-03-2025
1005,A104,Deposit,8000,05-03-2025
1006,A105,Withdrawal,3000,06-03-2025
1007,A106,Deposit,15000,07-03-2025
1008,A107,Transfer,6000,08-03-2025
1009,A108,Deposit,12000,09-03-2025
1010,A109,Withdrawal,2500,10-03-2025
1011,A110,Deposit,9000,11-03-2025
1012,A102,Transfer,4500,12-03-2025
