policy_id,customer_id,policy_number,policy_type,start_date,end_date,premium_amount,coverage_amount,status,agent_id,created_at,updated_at
1,101,POL-2023-0001,Auto,1/15/2023,1/15/2024,1200,50000,Active,AGT001,1/15/2023 9:00,1/15/2023 9:00
2,102,POL-2023-0002,Home,02-01-2023,02-01-2024,2400,350000,Active,AGT002,02-01-2023 10:30,02-01-2023 10:30
3,103,POL-2023-0003,Life,2/15/2023,2/15/2033,3600,500000,Active,AGT001,2/15/2023 11:00,2/15/2023 11:00
4,104,POL-2023-0004,Health,03-01-2023,03-01-2024,4800,100000,Active,AGT003,03-01-2023 08:45,03-01-2023 08:45
5,105,POL-2023-0005,Auto,3/15/2023,3/15/2024,950,30000,Lapsed,AGT002,3/15/2023 14:00,9/15/2023 14:00
6,106,POL-2023-0006,Home,04-01-2023,04-01-2024,1800,280000,Active,AGT004,04-01-2023 09:15,04-01-2023 09:15
7,107,POL-2023-0007,Life,4/15/2023,4/15/2043,5400,1000000,Active,AGT003,4/15/2023 10:00,4/15/2023 10:00
8,108,POL-2023-0008,Health,05-01-2023,05-01-2024,3600,75000,Active,AGT001,05-01-2023 11:30,05-01-2023 11:30
9,109,POL-2023-0009,Auto,5/15/2023,5/15/2024,1100,40000,Cancelled,AGT004,5/15/2023 13:00,7/15/2023 13:00
10,110,POL-2023-0010,Home,06-01-2023,06-01-2024,2100,320000,Active,AGT002,06-01-2023 09:00,06-01-2023 09:00
11,101,POL-2023-0011,Home,6/15/2023,6/15/2024,1950,300000,Active,AGT001,6/15/2023 10:00,6/15/2023 10:00
12,111,POL-2023-0012,Auto,07-01-2023,07-01-2024,1350,45000,Active,AGT003,07-01-2023 08:00,07-01-2023 08:00
13,112,POL-2023-0013,Life,7/15/2023,7/15/2053,7200,2000000,Active,AGT002,7/15/2023 9:30,7/15/2023 9:30
14,113,POL-2023-0014,Health,08-01-2023,08-01-2024,5400,150000,Active,AGT004,08-01-2023 11:00,08-01-2023 11:00
15,114,POL-2023-0015,Auto,8/15/2023,8/15/2024,875,25000,Active,AGT001,8/15/2023 14:30,8/15/2023 14:30
16,115,POL-2023-0016,Home,09-01-2023,09-01-2024,3200,500000,Active,AGT003,09-01-2023 09:00,09-01-2023 09:00
17,116,POL-2023-0017,Life,9/15/2023,9/15/2043,4800,750000,Active,AGT002,9/15/2023 10:30,9/15/2023 10:30
18,117,POL-2023-0018,Health,10-01-2023,10-01-2024,2400,50000,Lapsed,AGT004,10-01-2023 08:00,01-01-2024 08:00
19,118,POL-2023-0019,Auto,10/15/2023,10/15/2024,1600,55000,Active,AGT001,10/15/2023 11:00,10/15/2023 11:00
20,119,POL-2023-0020,Home,11-01-2023,11-01-2024,2750,420000,Active,AGT003,11-01-2023 09:30,11-01-2023 09:30
